unicode_greek,transliteration,lemma,part_of_speech,english_gloss,example_usage,notes,frequency,classical_sources
εἰρήνης,eirēnēs,εἰρήνη,noun fem gen sg,of peace,τῆς εἰρήνης οἱ καρποί,Genitive of εἰρήνη,750,Thucydides Aristotle.Pol
μάχη,machē,μάχη,noun fem nom sg,battle,ἡ μάχη χαλεπή,Single combat/fight,860,Homer.Il Thucydides
μάχης,machēs,μάχη,noun fem gen sg,of battle,τῆς μάχης τὸ τέλος,Genitive of μάχη,860,Homer.Il Thucydides
νίκη,nikē,νίκη,noun fem nom sg,victory,ἡ νίκη καλή,Success in battle,780,Homer.Il Thucydides
νίκης,nikēs,νίκη,noun fem gen sg,of victory,τῆς νίκης τὰ ἆθλα,Genitive of νίκη,780,Homer.Il Thucydides
ἧττα,hētta,ἧττα,noun fem nom sg,defeat,ἡ ἧττα αἰσχρά,Loss in battle,520,Thucydides
χρόνος,chronos,χρόνος,noun masc nom sg,time,ὁ χρόνος πάντα,Duration/period,920,Herodotus Plato
χρόνου,chronou,χρόνος,noun masc gen sg,of time,τοῦ χρόνου ἡ φύσις,Genitive of χρόνος,920,Herodotus Plato
τόπος,topos,τόπος,noun masc nom sg,place,ὁ τόπος καλός,Location/region,840,Herodotus Thucydides
τόπου,topou,τόπος,noun masc gen sg,of place,τοῦ τόπου ἡ φύσις,Genitive of τόπος,840,Herodotus Thucydides
οὐρανός,ouranos,οὐρανός,noun masc nom sg,heaven/sky,ὁ οὐρανὸς στερεός,Celestial sphere,770,Homer.Il Plato.Tim
οὐρανοῦ,ouranou,οὐρανός,noun masc gen sg,of heaven,τοῦ οὐρανοῦ τὰ ἄστρα,Genitive of οὐρανός,770,Homer.Il Plato.Tim
γῆ,gē,γῆ,noun fem nom sg,earth/land,ἡ γῆ στερεά,Ground/territory,950,Homer.Il Herodotus
γῆς,gēs,γῆ,noun fem gen sg,of earth,τῆς γῆς οἱ καρποί,Genitive of γῆ,950,Homer.Il Herodotus
θάλασσα,thalassa,θάλασσα,noun fem nom sg,sea,ἡ θάλασσα μεγάλη,Body of salt water,850,Homer.Il Herodotus
θαλάσσης,thalassēs,θάλασσα,noun fem gen sg,of sea,τῆς θαλάσσης τὰ κύματα,Genitive of θάλασσα,850,Homer.Il Herodotus
ποταμός,potamos,ποταμός,noun masc nom sg,river,ὁ ποταμὸς μέγας,Flowing water,760,Homer.Il Herodotus
ποταμοῦ,potamou,ποταμός,noun masc gen sg,of river,τοῦ ποταμοῦ τὸ ῥεῦμα,Genitive of ποταμός,760,Homer.Il Herodotus
ὄρος,oros,ὄρος,noun neut nom sg,mountain,τὸ ὄρος ὑψηλόν,High elevation,780,Homer.Il Herodotus
ὄρους,orous,ὄρος,noun neut gen sg,of mountain,τοῦ ὄρους ἡ κορυφή,Genitive of ὄρος,780,Homer.Il Herodotus
ἥλιος,hēlios,ἥλιος,noun masc nom sg,sun,ὁ ἥλιος λάμπει,Solar deity/celestial body,860,Homer.Il Herodotus
ἡλίου,hēliou,ἥλιος,noun masc gen sg,of sun,τοῦ ἡλίου τὸ φῶς,Genitive of ἥλιος,860,Homer.Il Herodotus
σελήνη,selēnē,σελήνη,noun fem nom sg,moon,ἡ σελήνη φαίνει,Lunar deity/celestial body,680,Homer.Il Aristotle
σελήνης,selēnēs,σελήνη,noun fem gen sg,of moon,τῆς σελήνης τὸ φῶς,Genitive of σελήνη,680,Homer.Il Aristotle
ἀστήρ,astēr,ἀστήρ,noun masc nom sg,star,ὁ ἀστὴρ λάμπει,Celestial body,650,Homer.Il Aristotle
ἀστέρος,asteros,ἀστήρ,noun masc gen sg,of star,τοῦ ἀστέρος ἡ κίνησις,Genitive of ἀστήρ,650,Homer.Il Aristotle
ἄστρον,astron,ἄστρον,noun neut nom sg,star/constellation,τὸ ἄστρον φαίνει,Stellar object,620,Homer.Il Plato.Tim
ἄστρου,astrou,ἄστρον,noun neut gen sg,of star,τοῦ ἄστρου ἡ θέσις,Genitive of ἄστρον,620,Homer.Il Plato.Tim
λέγω,legō,λέγω,verb 1st sg pres ind act,I say/speak,λέγω τὴν ἀλήθειαν,Common speech verb,950,Homer.Il Plato
λέγεις,legeis,λέγω,verb 2nd sg pres ind act,you say,τί λέγεις;,2nd person of λέγω,950,Homer.Il Plato
λέγει,legei,λέγω,verb 3rd sg pres ind act,he/she says,λέγει καλῶς,3rd person of λέγω,950,Homer.Il Plato
λέγομεν,legomen,λέγω,verb 1st pl pres ind act,we say,λέγομεν τοῦτο,1st plural of λέγω,950,Homer.Il Plato
λέγετε,legete,λέγω,verb 2nd pl pres ind act,you (pl) say,τί λέγετε;,2nd plural of λέγω,950,Homer.Il Plato
λέγουσι,legousi,λέγω,verb 3rd pl pres ind act,they say,λέγουσι πάντες,3rd plural of λέγω,950,Homer.Il Plato
λέγουσιν,legousin,λέγω,verb 3rd pl pres ind act,they say,λέγουσιν ἅπαντες,With nu-movable,950,Homer.Il Plato
ἔλεγον,elegon,λέγω,verb 1st sg impf ind act,I was saying,ἔλεγον ταῦτα,Imperfect of λέγω,950,Homer.Il Plato
εἶπον,eipon,εἶπον,verb 1st sg aor ind act,I said,εἶπον τὴν ἀλήθειαν,Aorist; different stem,920,Homer.Il Plato
εἰπεῖν,eipein,εἶπον,verb aor inf act,to say,εἰπεῖν τὴν ἀλήθειαν,Aorist infinitive,920,Homer.Il Plato
εἰπών,eipōn,εἶπον,part masc nom sg aor act,having said,εἰπὼν ταῦτα,Aorist participle,920,Homer.Il Plato
γράφω,graphō,γράφω,verb 1st sg pres ind act,I write,γράφω βιβλίον,Writing verb,780,Herodotus Plato
γράφεις,grapheis,γράφω,verb 2nd sg pres ind act,you write,γράφεις καλῶς,2nd person of γράφω,780,Herodotus Plato
γράφει,graphei,γράφω,verb 3rd sg pres ind act,he/she writes,γράφει ἐπιστολήν,3rd person of γράφω,780,Herodotus Plato
γίγνομαι,gignomai,γίγνομαι,verb 1st sg pres ind mid,I become,γίγνομαι σοφός,Common middle verb,920,Homer.Il Plato
γίγνῃ,gignēi,γίγνομαι,verb 2nd sg pres ind mid,you become,γίγνῃ καλός,2nd person of γίγνομαι,920,Homer.Il Plato
γίγνεται,gignetai,γίγνομαι,verb 3rd sg pres ind mid,he/she becomes,γίγνεται μέγας,3rd person of γίγνομαι,920,Homer.Il Plato
ἐγενόμην,egenomēn,γίγνομαι,verb 1st sg aor ind mid,I became,ἐγενόμην ἀνήρ,Aorist middle,920,Homer.Il Plato
γενέσθαι,genesthai,γίγνομαι,verb aor inf mid,to become,γενέσθαι σοφός,Aorist infinitive,920,Homer.Il Plato
γενόμενος,genomenos,γίγνομαι,part masc nom sg aor mid,having become,γενόμενος βασιλεύς,Aorist participle,920,Homer.Il Plato
ἔχω,echō,ἔχω,verb 1st sg pres ind act,I have/hold,ἔχω βιβλίον,Possession verb,960,Homer.Il Plato
ἔχεις,echeis,ἔχω,verb 2nd sg pres ind act,you have,ἔχεις σοφίαν,2nd person of ἔχω,960,Homer.Il Plato
ἔχει,echei,ἔχω,verb 3rd sg pres ind act,he/she has,ἔχει ἀρετήν,3rd person of ἔχω,960,Homer.Il Plato
ἔχομεν,echomen,ἔχω,verb 1st pl pres ind act,we have,ἔχομεν οἰκίαν,1st plural of ἔχω,960,Homer.Il Plato
ἔχετε,echete,ἔχω,verb 2nd pl pres ind act,you (pl) have,ἔχετε χρήματα,2nd plural of ἔχω,960,Homer.Il Plato
ἔχουσι,echousi,ἔχω,verb 3rd pl pres ind act,they have,ἔχουσι δύναμιν,3rd plural of ἔχω,960,Homer.Il Plato
εἶχον,eichon,ἔχω,verb 1st sg impf ind act,I had,εἶχον οἰκίαν,Imperfect of ἔχω,960,Homer.Il Plato
ἔσχον,eschon,ἔχω,verb 1st sg aor ind act,I got/took,ἔσχον βιβλίον,Aorist of ἔχω,960,Homer.Il Plato
σχεῖν,schein,ἔχω,verb aor inf act,to get/have,σχεῖν ἀρετήν,Aorist infinitive,960,Homer.Il Plato
δίδωμι,didōmi,δίδωμι,verb 1st sg pres ind act,I give,δίδωμι δῶρον,Athematic verb,890,Homer.Il Plato
δίδως,didōs,δίδωμι,verb 2nd sg pres ind act,you give,δίδως καλῶς,2nd person of δίδωμι,890,Homer.Il Plato
δίδωσι,didōsi,δίδωμι,verb 3rd sg pres ind act,he/she gives,δίδωσι χάριν,3rd person of δίδωμι,890,Homer.Il Plato
δίδωσιν,didōsin,δίδωμι,verb 3rd sg pres ind act,he/she gives,δίδωσιν ἅπασι,With nu-movable,890,Homer.Il Plato
διδόασι,didoasi,δίδωμι,verb 3rd pl pres ind act,they give,διδόασι πάντες,3rd plural present,890,Homer.Il Plato
ἐδίδων,edidōn,δίδωμι,verb 1st sg impf ind act,I was giving,ἐδίδων χρήματα,Imperfect of δίδωμι,890,Homer.Il Plato
ἔδωκα,edōka,δίδωμι,verb 1st sg aor ind act,I gave,ἔδωκα δῶρον,Aorist of δίδωμι,890,Homer.Il Plato
δοῦναι,dounai,δίδωμι,verb aor inf act,to give,δοῦναι δῶρον,Aorist infinitive,890,Homer.Il Plato
δούς,dous,δίδωμι,part masc nom sg aor act,having given,δοὺς χρήματα,Aorist participle,890,Homer.Il Plato
λαμβάνω,lambanō,λαμβάνω,verb 1st sg pres ind act,I take/receive,λαμβάνω δῶρον,Common taking verb,880,Homer.Il Plato
λαμβάνεις,lambaneis,λαμβάνω,verb 2nd sg pres ind act,you take,λαμβάνεις καλῶς,2nd person of λαμβάνω,880,Homer.Il Plato
λαμβάνει,lambanei,λαμβάνω,verb 3rd sg pres ind act,he/she takes,λαμβάνει χρήματα,3rd person of λαμβάνω,880,Homer.Il Plato
ἐλάμβανον,elambanon,λαμβάνω,verb 1st sg impf ind act,I was taking,ἐλάμβανον δῶρα,Imperfect of λαμβάνω,880,Homer.Il Plato
ἔλαβον,elabon,λαμβάνω,verb 1st sg aor ind act,I took,ἔλαβον βιβλίον,Aorist of λαμβάνω,880,Homer.Il Plato
λαβεῖν,labein,λαμβάνω,verb aor inf act,to take,λαβεῖν δῶρον,Aorist infinitive,880,Homer.Il Plato
λαβών,labōn,λαμβάνω,part masc nom sg aor act,having taken,λαβὼν χρήματα,Aorist participle,880,Homer.Il Plato
ποιῶ,poiō,ποιέω,verb 1st sg pres ind act,I make/do,ποιῶ ἔργον,Contract verb,900,Homer.Il Plato
ποιεῖς,poieis,ποιέω,verb 2nd sg pres ind act,you make,ποιεῖς καλῶς,2nd person of ποιέω,900,Homer.Il Plato
ποιεῖ,poiei,ποιέω,verb 3rd sg pres ind act,he/she makes,ποιεῖ τέχνην,3rd person of ποιέω,900,Homer.Il Plato
ποιοῦμεν,pouimen,ποιέω,verb 1st pl pres ind act,we make,ποιοῦμεν ἔργα,1st plural of ποιέω,900,Homer.Il Plato
ποιεῖτε,poieite,ποιέω,verb 2nd pl pres ind act,you (pl) make,ποιεῖτε καλά,2nd plural of ποιέω,900,Homer.Il Plato
ποιοῦσι,poiousi,ποιέω,verb 3rd pl pres ind act,they make,ποιοῦσι ἔργα,3rd plural of ποιέω,900,Homer.Il Plato
ἐποίουν,epoioun,ποιέω,verb 1st sg impf ind act,I was making,ἐποίουν καλά,Imperfect of ποιέω,900,Homer.Il Plato
ἐποίησα,epoiēsa,ποιέω,verb 1st sg aor ind act,I made,ἐποίησα βιβλίον,Aorist of ποιέω,900,Homer.Il Plato
ποιῆσαι,poiēsai,ποιέω,verb aor inf act,to make,ποιῆσαι ἔργον,Aorist infinitive,900,Homer.Il Plato
ποιήσας,poiēsas,ποιέω,part masc nom sg aor act,having made,ποιήσας καλά,Aorist participle,900,Homer.Il Plato
εἶδον,eidon,ὁράω,verb 1st sg aor ind act,I saw,εἶδον ἄνδρα,Aorist of ὁράω,890,Homer.Il Plato
ἰδεῖν,idein,ὁράω,verb aor inf act,to see,ἰδεῖν θεόν,Aorist infinitive,890,Homer.Il Plato
ἰδών,idōn,ὁράω,part masc nom sg aor act,having seen,ἰδὼν τοῦτο,Aorist participle,890,Homer.Il Plato
ὁρῶ,horō,ὁράω,verb 1st sg pres ind act,I see,ὁρῶ ἄνδρα,Contract present,890,Homer.Il Plato
ὁρᾷς,horas,ὁράω,verb 2nd sg pres ind act,you see,ὁρᾷς καλῶς,2nd person of ὁράω,890,Homer.Il Plato
ὁρᾷ,hora,ὁράω,verb 3rd sg pres ind act,he/she sees,ὁρᾷ θεόν,3rd person of ὁράω,890,Homer.Il Plato
ἀκούω,akouō,ἀκούω,verb 1st sg pres ind act,I hear,ἀκούω λόγον,Hearing verb,870,Homer.Il Plato
ἀκούεις,akoueis,ἀκούω,verb 2nd sg pres ind act,you hear,ἀκούεις καλῶς,2nd person of ἀκούω,870,Homer.Il Plato
ἀκούει,akouei,ἀκούω,verb 3rd sg pres ind act,he/she hears,ἀκούει μουσικήν,3rd person of ἀκούω,870,Homer.Il Plato
ἤκουον,ēkouon,ἀκούω,verb 1st sg impf ind act,I was hearing,ἤκουον λόγων,Imperfect of ἀκούω,870,Homer.Il Plato
ἤκουσα,ēkousa,ἀκούω,verb 1st sg aor ind act,I heard,ἤκουσα φωνήν,Aorist of ἀκούω,870,Homer.Il Plato
ἀκοῦσαι,akousai,ἀκούω,verb aor inf act,to hear,ἀκοῦσαι λόγον,Aorist infinitive,870,Homer.Il Plato
ἀκούσας,akousas,ἀκούω,part masc nom sg aor act,having heard,ἀκούσας ταῦτα,Aorist participle,870,Homer.Il Plato
γινώσκω,ginōskō,γινώσκω,verb 1st sg pres ind act,I know/learn,γινώσκω σοφίαν,Knowledge verb,850,Homer.Il Plato
γινώσκεις,ginōskeis,γινώσκω,verb 2nd sg pres ind act,you know,γινώσκεις ἀλήθειαν,2nd person of γινώσκω,850,Homer.Il Plato
γινώσκει,ginōskei,γινώσκω,verb 3rd sg pres ind act,he/she knows,γινώσκει καλά,3rd person of γινώσκω,850,Homer.Il Plato
ἐγίγνωσκον,egignōskon,γινώσκω,verb 1st sg impf ind act,I was knowing,ἐγίγνωσκον τοῦτο,Imperfect of γινώσκω,850,Homer.Il Plato
ἔγνων,egnōn,γινώσκω,verb 1st sg aor ind act,I learned/knew,ἔγνων ἀλήθειαν,Aorist of γινώσκω,850,Homer.Il Plato
γνῶναι,gnōnai,γινώσκω,verb aor inf act,to know/learn,γνῶναι σοφίαν,Aorist infinitive,850,Homer.Il Plato
γνούς,gnous,γινώσκω,part masc nom sg aor act,having learned,γνοὺς τοῦτο,Aorist participle,850,Homer.Il Plato
καί,kai,καί,conj,and,ἀνὴρ καὶ γυνή,Most common conjunction,1000,Homer.Il Plato
δέ,de,δέ,particle,but/and,ὁ δὲ ἀνήρ,Postpositive particle,980,Homer.Il Plato
ἀλλά,alla,ἀλλά,conj,but,οὐ τοῦτο ἀλλὰ ἐκεῖνο,Strong adversative,900,Homer.Il Plato
γάρ,gar,γάρ,particle,for/because,σοφὸς γάρ ἐστι,Explanatory particle,950,Homer.Il Plato
οὖν,oun,οὖν,particle,therefore/then,τί οὖν ποιῶμεν;,Inferential particle,880,Homer.Il Plato
μέν,men,μέν,particle,on one hand,ὁ μὲν... ὁ δέ,Correlative with δέ,940,Homer.Il Plato
τε,te,τε,particle,and,ἄνδρες τε καὶ γυναῖκες,Enclitic conjunction,850,Homer.Il Plato
ἤ,ē,ἤ,conj,or,τοῦτο ἢ ἐκεῖνο,Disjunctive particle,820,Homer.Il Plato
εἰ,ei,εἰ,conj,if,εἰ σοφός ἐστι,Conditional particle,920,Homer.Il Plato
ἐάν,ean,ἐάν,conj,if (+ subj),ἐὰν ἔλθῃ,Conditional with subjunctive,780,Homer.Il Plato
ὅτι,hoti,ὅτι,conj,that/because,λέγω ὅτι σοφός ἐστι,Causal/declarative,890,Homer.Il Plato
ὡς,hōs,ὡς,adv/conj,as/how/that,ὡς σοφὸς ἀνήρ,Comparative/manner,940,Homer.Il Plato
ὅταν,hotan,ὅταν,conj,whenever,ὅταν ἔλθῃ,Temporal with subjunctive,750,Homer.Il Plato
ὅτε,hote,ὅτε,conj,when,ὅτε ἦλθε,Temporal conjunction,780,Homer.Il Plato
οὐ,ou,οὐ,adv,not,οὐ σοφός,Primary negation,1000,Homer.Il Plato
οὐκ,ouk,οὐ,adv,not,οὐκ ἔστι,Before smooth breathing,1000,Homer.Il Plato
οὐχ,ouch,οὐ,adv,not,οὐχ εὑρίσκω,Before rough breathing,1000,Homer.Il Plato
μή,mē,μή,adv,not,μὴ ποιεῖν,Subjective negation,950,Homer.Il Plato
μήτε,mēte,μήτε,conj,neither,μήτε τοῦτο μήτε ἐκεῖνο,Negative conjunction,680,Homer.Il Plato
οὔτε,oute,οὔτε,conj,neither,οὔτε σοφὸς οὔτε δίκαιος,Objective negative,720,Homer.Il Plato
μηδέ,mēde,μηδέ,conj,and not,μηδὲ τοῦτο,Subjective negative,650,Homer.Il Plato
οὐδέ,oude,οὐδέ,conj,and not,οὐδὲ ἐκεῖνο,Objective negative,680,Homer.Il Plato
ἐν,en,ἐν,prep + dat,in/among,ἐν τῇ πόλει,Locative preposition,980,Homer.Il Plato
εἰς,eis,εἰς,prep + acc,into/to,εἰς τὴν πόλιν,Directional preposition,960,Homer.Il Plato
ἐκ,ek,ἐκ,prep + gen,out of/from,ἐκ τῆς πόλεως,Ablative preposition,940,Homer.Il Plato
ἐξ,ex,ἐκ,prep + gen,out of/from,ἐξ οἴκου,Before vowels,940,Homer.Il Plato
ἀπό,apo,ἀπό,prep + gen,from/away,ἀπὸ τῆς γῆς,Ablative preposition,880,Homer.Il Plato
πρός,pros,πρός,prep + acc,to/toward,πρὸς τὸν θεόν,Directional preposition,860,Homer.Il Plato
παρά,para,παρά,prep + gen/dat/acc,from/beside/to,παρὰ θεῶν,Variable case government,840,Homer.Il Plato
μετά,meta,μετά,prep + gen/acc,with/after,μετὰ φίλων,Comitative/temporal,820,Homer.Il Plato
κατά,kata,κατά,prep + gen/acc,down/according to,κατὰ γῆς,Distributive/directional,900,Homer.Il Plato
ἀνά,ana,ἀνά,prep + acc,up/throughout,ἀνὰ τὴν χώραν,Directional/distributive,720,Homer.Il Plato
ὑπό,hypo,ὑπό,prep + gen/dat/acc,under/by,ὑπὸ θεῶν,Spatial/agent,840,Homer.Il Plato
ἐπί,epi,ἐπί,prep + gen/dat/acc,on/upon/at,ἐπὶ τῆς γῆς,Spatial preposition,920,Homer.Il Plato
περί,peri,περί,prep + gen/acc,around/about,περὶ θεῶν,Spatial/topic,800,Homer.Il Plato
διά,dia,διά,prep + gen/acc,through/because of,διὰ σοφίαν,Instrumental/causal,860,Homer.Il Plato
σύν,syn,σύν,prep + dat,with,σὺν θεοῖς,Comitative preposition,720,Homer.Il Plato
πρό,pro,πρό,prep + gen,before/in front of,πρὸ τῆς μάχης,Temporal/spatial,680,Homer.Il Plato
ἀντί,anti,ἀντί,prep + gen,instead of/against,ἀντὶ χρημάτων,Substitutive,620,Homer.Il Plato
χωρίς,chōris,χωρίς,prep + gen,without/apart from,χωρὶς θεῶν,Separative preposition,580,Plato Aristotle
ὁ,ho,ὁ,art masc nom sg,the,ὁ ἀνήρ,Definite article,1000,Homer.Il Plato
ἡ,hē,ἡ,art fem nom sg,the,ἡ γυνή,Feminine article,1000,Homer.Il Plato
τό,to,ὁ,art neut nom sg,the,τὸ παιδίον,Neuter article,1000,Homer.Il Plato
τοῦ,tou,ὁ,art masc/neut gen sg,of the,τοῦ ἀνδρός,Genitive article,1000,Homer.Il Plato
τῆς,tēs,ὁ,art fem gen sg,of the,τῆς γυναικός,Feminine genitive,1000,Homer.Il Plato
τῷ,tōi,ὁ,art masc/neut dat sg,to/for the,τῷ ἀνδρί,Dative article,1000,Homer.Il Plato
τῇ,tēi,ὁ,art fem dat sg,to/for the,τῇ γυναικί,Feminine dative,1000,Homer.Il Plato
τόν,ton,ὁ,art masc acc sg,the,τὸν ἄνδρα,Masculine accusative,1000,Homer.Il Plato
τήν,tēn,ὁ,art fem acc sg,the,τὴν γυναῖκα,Feminine accusative,1000,Homer.Il Plato
οἱ,hoi,ὁ,art masc nom pl,the,οἱ ἄνδρες,Masculine plural,1000,Homer.Il Plato
αἱ,hai,ὁ,art fem nom pl,the,αἱ γυναῖκες,Feminine plural,1000,Homer.Il Plato
τά,ta,ὁ,art neut nom pl,the,τὰ παιδία,Neuter plural,1000,Homer.Il Plato
τῶν,tōn,ὁ,art gen pl,of the,τῶν ἀνδρῶν,Genitive plural,1000,Homer.Il Plato
τοῖς,tois,ὁ,art masc/neut dat pl,to/for the,τοῖς ἀνδράσι,Dative plural,1000,Homer.Il Plato
ταῖς,tais,ὁ,art fem dat pl,to/for the,ταῖς γυναιξί,Feminine dative plural,1000,Homer.Il Plato
τούς,tous,ὁ,art masc acc pl,the,τοὺς ἄνδρας,Masculine accusative plural,1000,Homer.Il Plato
τάς,tas,ὁ,art fem acc pl,the,τὰς γυναῖκας,Feminine accusative plural,1000,Homer.Il Plato
οὗτος,houtos,οὗτος,pron masc nom sg,this,οὗτος ὁ ἀνήρ,Demonstrative pronoun,920,Homer.Il Plato
αὕτη,hautē,οὗτος,pron fem nom sg,this,αὕτη ἡ γυνή,Feminine of οὗτος,920,Homer.Il Plato
τοῦτο,touto,οὗτος,pron neut nom sg,this,τοῦτο τὸ παιδίον,Neuter of οὗτος,920,Homer.Il Plato
τούτου,toutou,οὗτος,pron masc/neut gen sg,of this,τούτου τοῦ ἀνδρός,Genitive of οὗτος,920,Homer.Il Plato
ταύτης,tautēs,οὗτος,pron fem gen sg,of this,ταύτης τῆς γυναικός,Feminine genitive,920,Homer.Il Plato
τούτῳ,toutōi,οὗτος,pron masc/neut dat sg,to this,τούτῳ τῷ ἀνδρί,Dative of οὗτος,920,Homer.Il Plato
ταύτῃ,tautēi,οὗτος,pron fem dat sg,to this,ταύτῃ τῇ γυναικί,Feminine dative,920,Homer.Il Plato
τοῦτον,touton,οὗτος,pron masc acc sg,this,τοῦτον τὸν ἄνδρα,Accusative of οὗτος,920,Homer.Il Plato
ταύτην,tautēn,οὗτος,pron fem acc sg,this,ταύτην τὴν γυναῖκα,Feminine accusative,920,Homer.Il Plato
ἐκεῖνος,ekeinos,ἐκεῖνος,pron masc nom sg,that,ἐκεῖνος ὁ ἀνήρ,Remote demonstrative,840,Homer.Il Plato
ἐκείνη,ekeinē,ἐκεῖνος,pron fem nom sg,that,ἐκείνη ἡ γυνή,Feminine of ἐκεῖνος,840,Homer.Il Plato
ἐκεῖνο,ekeino,ἐκεῖνος,pron neut nom sg,that,ἐκεῖνο τὸ παιδίον,Neuter of ἐκεῖνος,840,Homer.Il Plato
ἐκείνου,ekeinou,ἐκεῖνος,pron masc/neut gen sg,of that,ἐκείνου τοῦ ἀνδρός,Genitive of ἐκεῖνος,840,Homer.Il Plato
τίς,tis,τίς,pron masc/fem nom sg,who? what?,τίς ἐστιν οὗτος;,Interrogative pronoun,900,Homer.Il Plato
τί,ti,τίς,pron neut nom sg,what?,τί ἐστι τοῦτο;,Neuter interrogative,900,Homer.Il Plato
τίνος,tinos,τίς,pron gen sg,whose? of what?,τίνος ἐστὶ τοῦτο;,Genitive interrogative,900,Homer.Il Plato
τίνι,tini,τίς,pron dat sg,to whom? to what?,τίνι δίδως τοῦτο;,Dative interrogative,900,Homer.Il Plato
τίνα,tina,τίς,pron masc/fem acc sg,whom? what?,τίνα ὁρᾷς;,Accusative interrogative,900,Homer.Il Plato
τίνες,tines,τίς,pron nom pl,who? which?,τίνες εἰσὶν οὗτοι;,Plural interrogative,900,Homer.Il Plato
τίνων,tinōn,τίς,pron gen pl,whose? of what?,τίνων ἐστὶ ταῦτα;,Genitive plural,900,Homer.Il Plato
πῶς,pōs,πῶς,adv,how?,πῶς τοῦτο ποιεῖς;,Interrogative adverb,820,Homer.Il Plato
ποῦ,pou,ποῦ,adv,where?,ποῦ ἐστιν ὁ ἀνήρ;,Locative interrogative,780,Homer.Il Plato
πότε,pote,πότε,adv,when?,πότε ἔρχῃ;,Temporal interrogative,750,Homer.Il Plato
πόθεν,pothen,πόθεν,adv,whence? from where?,πόθεν ἔρχῃ;,Ablative interrogative,680,Homer.Il Plato
ποῖ,poi,ποῖ,adv,whither? where to?,ποῖ βαδίζεις;,Directional interrogative,720,Homer.Il Plato
διὰ τί,dia ti,διὰ τί,phrase,why? for what?,διὰ τί τοῦτο ποιεῖς;,Causal interrogative,650,Plato Aristotle
ἐγώ,egō,ἐγώ,pron 1st nom sg,I,ἐγὼ σοφός εἰμι,Personal pronoun,1000,Homer.Il Plato
ἐμοῦ,emou,ἐγώ,pron 1st gen sg,of me,ἐμοῦ ἡ οἰκία,Genitive of ἐγώ,1000,Homer.Il Plato
μου,mou,ἐγώ,pron 1st gen sg,my/of me,μου ὁ πατήρ,Enclitic genitive,1000,Homer.Il Plato
ἐμοί,emoi,ἐγώ,pron 1st dat sg,to me,ἐμοὶ δίδως τοῦτο,Dative of ἐγώ,1000,Homer.Il Plato
μοι,moi,ἐγώ,pron 1st dat sg,to me,δίδως μοι τοῦτο,Enclitic dative,1000,Homer.Il Plato
ἐμέ,eme,ἐγώ,pron 1st acc sg,me,ἐμὲ ὁρᾷς,Accusative of ἐγώ,1000,Homer.Il Plato
με,me,ἐγώ,pron 1st acc sg,me,ὁρᾷς με,Enclitic accusative,1000,Homer.Il Plato
σύ,sy,σύ,pron 2nd nom sg,you,σὺ σοφός εἶ,Second person pronoun,1000,Homer.Il Plato
σοῦ,sou,σύ,pron 2nd gen sg,of you,σοῦ ἡ οἰκία,Genitive of σύ,1000,Homer.Il Plato
σου,sou,σύ,pron 2nd gen sg,your/of you,σου ὁ πατήρ,Enclitic genitive,1000,Homer.Il Plato
σοί,soi,σύ,pron 2nd dat sg,to you,σοὶ δίδωμι τοῦτο,Dative of σύ,1000,Homer.Il Plato
σοι,soi,σύ,pron 2nd dat sg,to you,δίδωμι σοι τοῦτο,Enclitic dative,1000,Homer.Il Plato
σέ,se,σύ,pron 2nd acc sg,you,σὲ ὁρῶ,Accusative of σύ,1000,Homer.Il Plato
σε,se,σύ,pron 2nd acc sg,you,ὁρῶ σε,Enclitic accusative,1000,Homer.Il Plato
αὐτός,autos,αὐτός,pron masc nom sg,he/self/same,αὐτὸς ἔρχεται,Intensive/personal pronoun,940,Homer.Il Plato
αὐτή,autē,αὐτός,pron fem nom sg,she/self/same,αὐτὴ ἔρχεται,Feminine of αὐτός,940,Homer.Il Plato
αὐτό,auto,αὐτός,pron neut nom sg,it/self/same,αὐτὸ τοῦτο,Neuter of αὐτός,940,Homer.Il Plato
αὐτοῦ,autou,αὐτός,pron masc/neut gen sg,his/its/of same,αὐτοῦ ἡ οἰκία,Genitive of αὐτός,940,Homer.Il Plato
αὐτῆς,autēs,αὐτός,pron fem gen sg,her/of same,αὐτῆς ἡ οἰκία,Feminine genitive,940,Homer.Il Plato
αὐτῷ,autōi,αὐτός,pron masc/neut dat sg,to him/it,αὐτῷ δίδωμι,Dative of αὐτός,940,Homer.Il Plato
αὐτῇ,autēi,αὐτός,pron fem dat sg,to her,αὐτῇ δίδωμι,Feminine dative,940,Homer.Il Plato
αὐτόν,auton,αὐτός,pron masc acc sg,him,αὐτὸν ὁρῶ,Accusative of αὐτός,940,Homer.Il Plato
αὐτήν,autēn,αὐτός,pron fem acc sg,her,αὐτὴν ὁρῶ,Feminine accusative,940,Homer.Il Plato
ἡμεῖς,hēmeis,ἐγώ,pron 1st nom pl,we,ἡμεῖς σοφοί ἐσμεν,First person plural,980,Homer.Il Plato
ἡμῶν,hēmōn,ἐγώ,pron 1st gen pl,our/of us,ἡμῶν ἡ πόλις,Genitive plural,980,Homer.Il Plato
ἡμῖν,hēmin,ἐγώ,pron 1st dat pl,to us,ἡμῖν δίδωσι,Dative plural,980,Homer.Il Plato
